"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/10/2025";"0000";"15,6";"15,7";"15,5";"98,0";"98,0";"98,0";"15,3";"15,3";"15,2";"905,0";"905,2";"904,6";"5,1";"113,0";"6,5";"";"0,0"
"01/10/2025";"0100";"15,7";"15,7";"15,6";"98,0";"98,0";"98,0";"15,4";"15,4";"15,3";"905,6";"905,6";"905,0";"4,4";"106,0";"6,9";"";"0,4"
"01/10/2025";"0200";"15,6";"15,7";"15,5";"97,0";"98,0";"97,0";"15,1";"15,4";"15,1";"905,2";"905,6";"905,1";"4,5";"78,0";"6,6";"";"0,6"
"01/10/2025";"0300";"15,5";"15,7";"15,4";"96,0";"97,0";"96,0";"14,9";"15,1";"14,8";"905,3";"905,3";"905,0";"3,6";"113,0";"7,8";"";"0,0"
"01/10/2025";"0400";"15,1";"15,5";"15,1";"98,0";"98,0";"96,0";"14,8";"15,0";"14,8";"904,4";"905,3";"904,3";"4,0";"110,0";"6,0";"";"0,0"
"01/10/2025";"0500";"15,4";"15,4";"15,1";"97,0";"98,0";"97,0";"14,9";"15,1";"14,8";"904,4";"904,6";"904,3";"4,6";"98,0";"7,0";"";"0,0"
"01/10/2025";"0600";"15,0";"15,4";"14,9";"97,0";"97,0";"97,0";"14,6";"14,9";"14,5";"903,8";"904,4";"903,8";"3,7";"105,0";"6,9";"";"0,0"
"01/10/2025";"0700";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/10/2025";"0800";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/10/2025";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"01/10/2025";"1000";"15,0";"15,0";"14,5";"98,0";"98,0";"97,0";"14,6";"14,6";"14,1";"906,0";"906,0";"904,9";"2,4";"91,0";"4,8";"68,80";"0,0"
"01/10/2025";"1100";"15,8";"15,8";"15,0";"96,0";"98,0";"96,0";"15,2";"15,2";"14,7";"906,6";"906,6";"906,0";"2,7";"113,0";"3,8";"386,50";"0,0"
"01/10/2025";"1200";"16,8";"17,0";"15,8";"93,0";"96,0";"92,0";"15,6";"15,9";"15,2";"906,8";"906,8";"906,5";"3,6";"124,0";"6,2";"940,90";"0,0"
"01/10/2025";"1300";"17,8";"17,8";"16,7";"87,0";"93,0";"87,0";"15,6";"16,0";"15,3";"906,9";"907,1";"906,8";"3,6";"98,0";"6,2";"1089,90";"0,0"
"01/10/2025";"1400";"18,6";"18,7";"17,9";"82,0";"87,0";"81,0";"15,5";"16,0";"15,1";"905,9";"906,9";"905,8";"4,0";"115,0";"6,0";"1728,00";"0,2"
"01/10/2025";"1500";"18,8";"19,2";"18,6";"80,0";"84,0";"78,0";"15,2";"16,2";"15,1";"906,3";"906,4";"905,9";"3,3";"119,0";"6,2";"1337,10";"0,0"
"01/10/2025";"1600";"19,3";"20,2";"18,8";"77,0";"82,0";"75,0";"15,2";"16,2";"14,9";"906,2";"906,3";"906,1";"3,9";"77,0";"5,7";"1389,60";"0,0"
"01/10/2025";"1700";"20,0";"20,2";"19,3";"77,0";"80,0";"74,0";"15,8";"16,1";"15,0";"905,6";"906,2";"905,5";"3,4";"111,0";"5,8";"1230,20";"0,0"
"01/10/2025";"1800";"19,6";"20,1";"19,3";"78,0";"80,0";"74,0";"15,7";"16,2";"15,2";"905,2";"905,6";"905,2";"3,3";"105,0";"6,1";"1044,80";"0,0"
"01/10/2025";"1900";"19,6";"19,7";"19,3";"78,0";"81,0";"77,0";"15,7";"16,2";"15,4";"905,4";"905,4";"905,2";"3,4";"108,0";"6,2";"798,40";"0,0"
"01/10/2025";"2000";"19,1";"19,7";"19,1";"78,0";"81,0";"77,0";"15,1";"16,4";"15,0";"905,6";"905,6";"905,3";"3,2";"116,0";"5,0";"637,90";"0,0"
"01/10/2025";"2100";"18,1";"19,1";"18,0";"85,0";"85,0";"78,0";"15,4";"15,4";"15,1";"905,9";"905,9";"905,6";"2,9";"121,0";"5,4";"245,50";"0,0"
"01/10/2025";"2200";"17,6";"18,1";"17,6";"89,0";"89,0";"85,0";"15,7";"15,7";"15,4";"906,3";"906,3";"905,9";"3,7";"92,0";"5,6";"9,00";"0,0"
"01/10/2025";"2300";"16,6";"17,6";"16,6";"89,0";"89,0";"88,0";"14,7";"15,8";"14,7";"906,3";"906,4";"906,1";"4,7";"78,0";"8,1";"";"0,0"
"02/10/2025";"0000";"15,9";"16,6";"15,9";"92,0";"92,0";"89,0";"14,6";"14,8";"14,5";"906,8";"906,8";"906,3";"4,5";"77,0";"7,4";"";"0,0"
"02/10/2025";"0100";"15,7";"16,0";"15,7";"91,0";"92,0";"91,0";"14,3";"14,6";"14,3";"907,2";"907,2";"906,8";"5,0";"61,0";"8,3";"";"0,0"
"02/10/2025";"0200";"15,4";"15,8";"15,3";"92,0";"93,0";"91,0";"14,2";"14,3";"14,1";"907,0";"907,2";"907,0";"5,3";"79,0";"8,3";"";"0,0"
"02/10/2025";"0300";"15,3";"15,4";"15,2";"94,0";"94,0";"92,0";"14,3";"14,4";"14,1";"906,8";"907,1";"906,7";"5,2";"65,0";"8,7";"";"0,0"
"02/10/2025";"0400";"15,4";"15,5";"15,3";"94,0";"94,0";"93,0";"14,4";"14,5";"14,3";"905,9";"906,8";"905,9";"5,2";"75,0";"8,5";"";"0,0"
"02/10/2025";"0500";"15,5";"15,5";"15,2";"93,0";"95,0";"93,0";"14,4";"14,4";"14,3";"905,5";"905,9";"905,4";"4,4";"66,0";"8,5";"";"0,0"
"02/10/2025";"0600";"15,5";"15,7";"15,5";"89,0";"93,0";"89,0";"13,7";"14,4";"13,7";"905,0";"905,5";"905,0";"6,2";"58,0";"9,4";"";"0,0"
"02/10/2025";"0700";"15,5";"15,6";"15,5";"89,0";"89,0";"88,0";"13,7";"13,7";"13,6";"904,8";"905,0";"904,7";"6,0";"64,0";"10,9";"";"0,0"
"02/10/2025";"0800";"15,2";"15,5";"15,2";"92,0";"92,0";"89,0";"13,8";"13,8";"13,7";"904,8";"905,0";"904,7";"5,5";"74,0";"8,2";"";"0,0"
"02/10/2025";"0900";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"02/10/2025";"1000";"15,4";"15,4";"15,1";"90,0";"92,0";"90,0";"13,8";"13,8";"13,8";"906,0";"906,0";"905,3";"4,5";"66,0";"7,8";"64,00";"0,0"
"02/10/2025";"1100";"15,6";"15,6";"15,3";"88,0";"91,0";"88,0";"13,6";"13,9";"13,5";"906,8";"906,8";"906,0";"6,4";"57,0";"10,0";"143,60";"0,0"
"02/10/2025";"1200";"17,5";"17,6";"15,6";"80,0";"88,0";"80,0";"14,0";"14,7";"13,4";"907,3";"907,3";"906,8";"4,6";"63,0";"9,3";"836,40";"0,0"
"02/10/2025";"1300";"18,2";"18,8";"17,4";"77,0";"82,0";"73,0";"14,1";"14,6";"13,6";"906,2";"907,3";"906,0";"6,0";"66,0";"11,4";"2163,10";"0,0"
"02/10/2025";"1400";"18,7";"18,9";"17,9";"74,0";"78,0";"72,0";"13,9";"14,6";"13,6";"906,2";"906,4";"905,6";"6,0";"75,0";"9,5";"1966,30";"0,0"
"02/10/2025";"1500";"19,5";"20,4";"18,7";"77,0";"77,0";"71,0";"15,3";"15,5";"14,1";"906,4";"906,6";"906,2";"5,3";"70,0";"9,1";"1944,70";"0,0"
"02/10/2025";"1600";"20,2";"20,8";"19,1";"75,0";"77,0";"71,0";"15,5";"16,2";"14,5";"906,1";"906,5";"906,1";"5,8";"75,0";"9,5";"2070,80";"0,0"
"02/10/2025";"1700";"19,0";"20,9";"18,5";"79,0";"81,0";"71,0";"15,3";"16,0";"14,7";"905,4";"906,1";"905,3";"7,1";"81,0";"10,3";"1592,90";"0,0"
"02/10/2025";"1800";"18,4";"19,8";"18,4";"81,0";"82,0";"76,0";"15,0";"16,0";"14,9";"904,9";"905,5";"904,9";"6,0";"74,0";"10,3";"1687,20";"0,0"
"02/10/2025";"1900";"17,7";"18,4";"17,6";"84,0";"84,0";"80,0";"14,9";"15,0";"14,7";"905,0";"905,1";"904,9";"6,0";"80,0";"9,8";"547,10";"0,0"
"02/10/2025";"2000";"17,0";"17,9";"17,0";"86,0";"86,0";"83,0";"14,7";"15,3";"14,7";"905,4";"905,4";"905,0";"5,9";"80,0";"8,9";"361,70";"0,0"
