Data;Hora;Temp (C);Temp_Max (C);Temp_Min (C);Umid (%);Umid_Max (%);Umid_Min (%);PO (C);PO_Max (C);PO_Min (C);Pressao (hPa);Pressao_Max (hPa);Pressao_Min (hPa);VelVento_S_WVT (m/s);VelVento_Max (m/s);DirVento_D1_WVT (Deg);RadTot (KJ/m²);Chuva_Tot (mm)
01/11/2025;00;19,4;19,6;19,4;89,6;89,7;88,8;17,7;17,9;17,5;1015;1015,2;1014,8;0,4;2,3;11;0;1,27
01/11/2025;01;19,5;19,6;19,3;89,9;89,9;89,4;17,8;17,9;17,5;1014;1014,8;1014,2;0,4;1,3;99;0;0
01/11/2025;02;19,7;19,9;19,5;89,3;89,9;88,4;17,9;18,2;17,5;1014;1014,3;1013,6;0,8;3,9;49;0;0,51
01/11/2025;03;19,3;19,8;19,3;90;90;89,2;17,6;18,2;17,4;1013;1013,7;1013,4;0,3;1,8;79;0;0
01/11/2025;04;19,2;19,3;18,8;90;90,2;89,8;17,5;17,7;17,1;1014;1013,6;1013,4;0,4;1,2;69;0;0
01/11/2025;05;18,6;19,2;18,6;90,1;90,3;89,8;17;17,6;16,9;1014;1013,7;1013,4;0,3;1,7;57;0;0
01/11/2025;06;19,1;19,1;18,3;90,2;90,2;89,8;17,4;17,4;16,6;1014;1014,2;1013,6;0,5;1,9;48;55,9;0
01/11/2025;07;20;20;19,1;89,2;90,2;89;18,1;18,4;17,2;1015;1014,9;1014,2;0,7;2,6;356;381,5;0
01/11/2025;08;22,4;22,5;19,9;85,1;89,4;84,7;19,8;20,7;17,2;1016;1015,5;1014,9;0,9;3,8;337;1615,4;0
01/11/2025;09;23,5;24,3;21,7;79,1;85,5;77,5;19,7;21,8;17,6;1016;1015,8;1015,5;1,1;3,3;336;2490,8;0
01/11/2025;10;24,3;24,8;23;73,8;79,3;73;19,4;20,9;17,9;1015;1015,7;1015,1;1,8;5;341;3202,7;0
01/11/2025;11;25;26,3;24,2;71,5;74,8;68,7;19,5;21,5;18;1014;1015,1;1014,3;2,2;6,8;0;3663,4;0
01/11/2025;12;26;26,5;24,4;71,7;73,6;69,8;20,5;21,4;18,5;1014;1014,5;1013,6;2,7;8,6;2;3918,3;0
01/11/2025;13;26,4;27;25,2;69,3;75,2;68,1;20,3;22,3;18,9;1013;1013,6;1012,7;2,2;6,8;340;3905,9;0
01/11/2025;14;26,6;27,8;25,9;69,3;71,6;67;20,5;22,2;19,3;1012;1012,8;1011,8;2,7;7,1;335;3605,9;0
01/11/2025;15;25,9;27,3;25,7;70,1;71,5;67;20,1;21,7;19,1;1011;1011,8;1011;3,2;7,4;344;2897,9;0
01/11/2025;16;24,5;26,7;24,3;74;74,8;68,4;19,5;21,9;18,1;1011;1011,2;1010,9;3,2;7,9;343;1848,4;0
01/11/2025;17;23,4;24,6;23,1;79;79,7;73,9;19,5;20,9;18,2;1011;1011,4;1010,9;2,6;7,4;357;770,6;0
01/11/2025;18;22,7;23,5;22,6;81,5;82;78,6;19,4;20,2;18,7;1011;1011,7;1011,1;2,5;7,9;359;301,7;0
01/11/2025;19;22,1;22,7;22,1;83,4;83,6;81,1;19,2;19,8;18,7;1012;1011,9;1011,2;2;6,8;10;31,9;0
01/11/2025;20;21,9;22,2;21,9;85,2;85,5;83,4;19,3;19,7;18,9;1012;1012,1;1011,7;2;6,1;6;0;0
01/11/2025;21;21,9;22;21,8;86,4;86,6;84,2;19,5;19,7;19;1013;1013,3;1012;1,7;6;357;0;0
01/11/2025;22;22;22;21,8;86,1;86,7;85,9;19,6;19,7;19,3;1014;1014;1012,9;1,6;5;356;0;0
01/11/2025;23;22;22,1;22;86,5;86,6;85,9;19,6;19,7;19,5;1013;1014,2;1013,3;1,8;5,5;357;0;0
02/11/2025;00;21,8;22;21,7;87;87,1;86,4;19,5;19,8;19,4;1013;1013,5;1012,7;1,6;4,8;13;0;0
02/11/2025;01;21,7;21,8;21,7;87,3;87,4;87;19,5;19,6;19,4;1012;1012,7;1012;1,4;5,5;11;0;0
02/11/2025;02;21,6;21,8;21,6;87,8;87,9;87,1;19,5;19,7;19,3;1010;1012;1010,3;1,5;4,8;10;0;0
02/11/2025;03;21,9;21,9;21,6;87,1;88;87,1;19,6;19,8;19,3;1011;1010,8;1010;1,3;5,1;351;0;0
