"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/10/2025";"0000";"21,3";"21,9";"21,2";"87,0";"87,0";"81,0";"19,1";"19,1";"18,5";"1013,9";"1013,9";"1013,6";"3,6";"98,0";"6,3";"";"0,0"
"01/10/2025";"0100";"21,1";"21,3";"20,9";"89,0";"89,0";"86,0";"19,2";"19,2";"18,6";"1014,1";"1014,2";"1013,9";"2,4";"88,0";"6,1";"";"0,0"
"01/10/2025";"0200";"21,3";"21,4";"21,1";"89,0";"91,0";"88,0";"19,5";"19,8";"19,1";"1014,0";"1014,2";"1014,0";"2,0";"77,0";"4,6";"";"0,0"
"01/10/2025";"0300";"22,8";"22,8";"20,9";"67,0";"92,0";"67,0";"16,3";"19,9";"16,3";"1013,7";"1014,0";"1013,6";"1,8";"56,0";"5,6";"";"0,0"
"01/10/2025";"0400";"22,5";"22,8";"22,3";"65,0";"71,0";"65,0";"15,7";"16,8";"15,5";"1013,5";"1013,7";"1013,4";"1,6";"51,0";"4,6";"";"0,0"
"01/10/2025";"0500";"22,0";"22,5";"22,0";"68,0";"69,0";"65,0";"15,9";"16,0";"15,5";"1012,6";"1013,5";"1012,6";"2,0";"63,0";"4,5";"";"0,0"
"01/10/2025";"0600";"21,6";"22,2";"21,6";"71,0";"72,0";"67,0";"16,1";"16,2";"15,7";"1012,3";"1012,6";"1012,2";"1,5";"93,0";"6,0";"";"0,0"
"01/10/2025";"0700";"21,4";"21,8";"21,4";"70,0";"71,0";"68,0";"15,7";"16,1";"15,6";"1012,4";"1012,6";"1012,3";"0,7";"350,0";"4,4";"";"0,0"
"01/10/2025";"0800";"21,6";"21,7";"21,1";"69,0";"72,0";"68,0";"15,6";"16,0";"15,5";"1012,5";"1012,5";"1012,2";"2,0";"54,0";"4,7";"";"0,0"
"01/10/2025";"0900";"21,0";"21,6";"21,0";"74,0";"74,0";"69,0";"16,2";"16,2";"15,6";"1013,5";"1013,5";"1012,5";"1,5";"261,0";"4,7";"28,80";"0,0"
"01/10/2025";"1000";"21,6";"21,7";"20,8";"74,0";"78,0";"74,0";"16,8";"17,3";"16,3";"1014,4";"1014,4";"1013,5";"1,3";"268,0";"3,2";"460,00";"0,0"
"01/10/2025";"1100";"21,7";"21,7";"21,3";"74,0";"75,0";"74,0";"16,9";"17,0";"16,5";"1015,4";"1015,4";"1014,4";"1,7";"245,0";"3,5";"1476,10";"0,0"
"01/10/2025";"1200";"21,8";"22,4";"21,6";"75,0";"75,0";"70,0";"17,2";"17,4";"16,3";"1015,8";"1015,8";"1015,3";"2,0";"242,0";"3,6";"2336,20";"0,0"
"01/10/2025";"1300";"23,2";"24,3";"21,7";"70,0";"77,0";"65,0";"17,5";"18,2";"16,6";"1016,0";"1016,0";"1015,8";"1,4";"143,0";"3,2";"2998,30";"0,0"
"01/10/2025";"1400";"23,8";"24,7";"22,9";"66,0";"70,0";"64,0";"17,1";"18,1";"16,6";"1015,9";"1016,0";"1015,8";"1,4";"149,0";"2,5";"3425,60";"0,0"
"01/10/2025";"1500";"23,6";"26,4";"23,5";"66,0";"67,0";"56,0";"16,8";"18,1";"16,1";"1015,5";"1016,0";"1015,5";"2,0";"158,0";"3,4";"3586,90";"0,0"
"01/10/2025";"1600";"24,2";"25,5";"23,6";"65,0";"67,0";"59,0";"17,2";"17,8";"16,4";"1014,9";"1015,5";"1014,9";"1,6";"168,0";"3,0";"3476,90";"0,0"
"01/10/2025";"1700";"24,5";"25,2";"23,7";"62,0";"68,0";"58,0";"16,6";"17,6";"15,9";"1014,4";"1015,0";"1014,4";"1,5";"195,0";"2,9";"3064,00";"0,0"
"01/10/2025";"1800";"24,2";"25,3";"24,2";"69,0";"69,0";"57,0";"18,1";"18,3";"15,8";"1014,7";"1014,7";"1014,4";"2,7";"247,0";"4,4";"2437,00";"0,0"
"01/10/2025";"1900";"23,2";"24,7";"23,2";"72,0";"73,0";"66,0";"18,0";"18,4";"17,6";"1014,7";"1014,8";"1014,7";"2,4";"258,0";"4,7";"675,10";"0,0"
"01/10/2025";"2000";"22,5";"23,4";"22,5";"77,0";"77,0";"72,0";"18,2";"18,4";"18,1";"1015,5";"1015,5";"1014,7";"2,8";"235,0";"5,1";"398,50";"0,0"
"01/10/2025";"2100";"21,2";"22,8";"21,2";"85,0";"85,0";"77,0";"18,5";"18,9";"18,3";"1015,8";"1015,8";"1015,5";"2,5";"245,0";"5,1";"77,70";"0,0"
"01/10/2025";"2200";"21,0";"21,2";"20,7";"83,0";"86,0";"82,0";"18,0";"18,6";"17,7";"1016,2";"1016,3";"1015,8";"2,9";"251,0";"6,1";"";"0,0"
"01/10/2025";"2300";"20,5";"21,0";"20,5";"92,0";"92,0";"83,0";"19,1";"19,1";"18,1";"1016,6";"1016,6";"1016,2";"2,1";"253,0";"5,1";"";"0,0"
"02/10/2025";"0000";"21,1";"21,1";"20,5";"81,0";"92,0";"81,0";"17,8";"19,2";"17,7";"1017,2";"1017,2";"1016,5";"1,9";"275,0";"4,7";"";"0,0"
"02/10/2025";"0100";"21,2";"21,2";"21,0";"81,0";"83,0";"81,0";"17,7";"18,0";"17,6";"1017,3";"1017,3";"1017,1";"0,4";"117,0";"3,8";"";"0,0"
"02/10/2025";"0200";"20,6";"21,4";"20,5";"89,0";"89,0";"78,0";"18,7";"18,7";"17,3";"1017,0";"1017,3";"1017,0";"1,8";"64,0";"3,1";"";"0,0"
"02/10/2025";"0300";"20,8";"20,8";"20,5";"83,0";"89,0";"83,0";"17,7";"18,7";"17,7";"1016,6";"1017,1";"1016,6";"1,5";"62,0";"3,0";"";"0,0"
"02/10/2025";"0400";"20,5";"20,8";"20,5";"85,0";"85,0";"82,0";"18,0";"18,0";"17,4";"1016,7";"1016,7";"1016,5";"1,4";"242,0";"2,6";"";"0,0"
"02/10/2025";"0500";"20,4";"20,6";"20,4";"89,0";"89,0";"85,0";"18,5";"18,5";"18,1";"1016,2";"1016,7";"1016,2";"1,1";"268,0";"3,1";"";"0,0"
"02/10/2025";"0600";"20,5";"20,5";"20,3";"91,0";"91,0";"89,0";"18,9";"18,9";"18,6";"1016,1";"1016,2";"1016,0";"0,8";"243,0";"2,4";"";"0,0"
"02/10/2025";"0700";"20,4";"20,6";"20,1";"88,0";"91,0";"88,0";"18,3";"19,0";"18,2";"1016,2";"1016,3";"1016,1";"0,7";"33,0";"1,7";"";"0,0"
"02/10/2025";"0800";"20,6";"20,7";"20,4";"86,0";"88,0";"84,0";"18,1";"18,4";"17,9";"1016,8";"1016,8";"1016,2";"1,1";"64,0";"2,4";"";"0,0"
"02/10/2025";"0900";"21,2";"21,2";"20,6";"79,0";"86,0";"78,0";"17,3";"18,2";"17,1";"1017,3";"1017,3";"1016,8";"1,3";"66,0";"3,7";"31,60";"0,0"
"02/10/2025";"1000";"21,9";"21,9";"21,0";"84,0";"90,0";"79,0";"19,1";"19,5";"17,3";"1017,8";"1017,8";"1017,3";"2,4";"89,0";"3,3";"528,40";"0,0"
"02/10/2025";"1100";"23,0";"23,1";"21,8";"73,0";"85,0";"73,0";"17,9";"19,5";"17,8";"1018,0";"1018,2";"1017,8";"3,5";"93,0";"5,3";"1345,70";"0,0"
"02/10/2025";"1200";"24,3";"24,3";"22,7";"73,0";"75,0";"69,0";"19,1";"19,1";"17,5";"1017,9";"1018,0";"1017,8";"3,5";"93,0";"5,8";"2196,40";"0,0"
"02/10/2025";"1300";"23,4";"26,2";"23,4";"76,0";"76,0";"65,0";"19,0";"19,9";"18,7";"1018,2";"1018,2";"1017,9";"2,2";"94,0";"5,6";"2690,50";"0,0"
"02/10/2025";"1400";"25,9";"27,1";"23,0";"67,0";"79,0";"64,0";"19,4";"20,8";"18,7";"1018,2";"1018,3";"1018,2";"1,7";"109,0";"2,9";"2642,70";"0,0"
"02/10/2025";"1500";"24,1";"25,9";"23,6";"73,0";"76,0";"66,0";"19,0";"19,5";"18,3";"1017,5";"1018,2";"1017,5";"1,7";"103,0";"4,0";"2866,00";"0,0"
"02/10/2025";"1600";"23,0";"24,6";"23,0";"76,0";"76,0";"71,0";"18,5";"19,6";"18,4";"1017,2";"1017,6";"1017,2";"0,9";"137,0";"3,0";"3322,20";"0,0"
"02/10/2025";"1700";"23,7";"24,6";"22,9";"74,0";"78,0";"72,0";"18,8";"19,6";"18,6";"1016,4";"1017,2";"1016,4";"4,1";"101,0";"6,9";"2839,40";"0,0"
"02/10/2025";"1800";"22,3";"23,8";"22,1";"79,0";"80,0";"73,0";"18,4";"19,0";"18,2";"1016,0";"1016,4";"1016,0";"4,4";"100,0";"7,2";"1792,00";"0,0"
"02/10/2025";"1900";"21,5";"22,4";"21,5";"81,0";"81,0";"78,0";"18,1";"18,6";"18,0";"1015,9";"1016,1";"1015,8";"3,2";"84,0";"9,7";"780,50";"0,0"
"02/10/2025";"2000";"21,3";"21,5";"21,3";"81,0";"81,0";"80,0";"17,9";"18,1";"17,8";"1016,2";"1016,2";"1015,8";"7,4";"88,0";"11,0";"416,20";"0,0"
"02/10/2025";"2100";"21,0";"21,3";"21,0";"82,0";"82,0";"81,0";"17,8";"17,9";"17,7";"1016,7";"1016,7";"1016,2";"8,7";"90,0";"12,5";"47,90";"0,0"
"02/10/2025";"2200";"20,8";"21,0";"20,8";"83,0";"83,0";"82,0";"17,8";"17,9";"17,7";"1017,2";"1017,2";"1016,7";"7,2";"92,0";"11,5";"";"0,0"
"02/10/2025";"2300";"20,5";"20,9";"20,5";"85,0";"85,0";"82,0";"17,9";"18,0";"17,7";"1018,1";"1018,1";"1017,2";"4,8";"91,0";"10,2";"";"0,0"
