"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/02/2025";"0000";"25,8";"26,1";"25,7";"76,0";"79,0";"75,0";"21,2";"22,1";"21,0";"1008,5";"1008,6";"1008,1";"2,0";"138,0";"6,2";"";"0,0"
"01/02/2025";"0100";"25,7";"25,8";"25,6";"73,0";"77,0";"73,0";"20,4";"21,5";"20,3";"1008,9";"1008,9";"1008,5";"1,6";"135,0";"5,3";"";"0,0"
"01/02/2025";"0200";"25,7";"25,9";"25,7";"78,0";"78,0";"72,0";"21,5";"21,5";"20,2";"1009,2";"1009,4";"1008,9";"0,9";"172,0";"3,5";"";"0,0"
"01/02/2025";"0300";"25,1";"25,7";"25,1";"79,0";"80,0";"78,0";"21,3";"21,7";"21,3";"1008,6";"1009,3";"1008,6";"0,8";"158,0";"2,3";"";"0,0"
"01/02/2025";"0400";"24,8";"25,2";"24,8";"81,0";"81,0";"79,0";"21,3";"21,7";"21,3";"1008,4";"1008,6";"1008,4";"0,8";"229,0";"2,8";"";"0,0"
"01/02/2025";"0500";"24,4";"24,8";"24,4";"83,0";"83,0";"80,0";"21,3";"21,3";"21,1";"1008,2";"1008,4";"1008,1";"0,7";"296,0";"2,2";"";"0,0"
"01/02/2025";"0600";"24,2";"24,4";"24,2";"86,0";"86,0";"83,0";"21,6";"21,7";"21,4";"1007,8";"1008,2";"1007,8";"0,4";"263,0";"1,9";"";"0,0"
"01/02/2025";"0700";"24,2";"24,3";"24,1";"85,0";"86,0";"85,0";"21,5";"21,6";"21,4";"1007,7";"1007,8";"1007,7";"0,7";"276,0";"2,5";"";"0,0"
"01/02/2025";"0800";"23,9";"24,2";"23,9";"85,0";"86,0";"85,0";"21,2";"21,6";"21,2";"1007,7";"1007,9";"1007,7";"0,1";"276,0";"2,8";"";"0,0"
"01/02/2025";"0900";"24,1";"24,1";"23,9";"86,0";"86,0";"85,0";"21,6";"21,6";"21,3";"1008,0";"1008,1";"1007,7";"0,0";"320,0";"1,4";"";"0,0"
