ANO;MES;DATA;FASES;CHAPECO;BARRAMENTO;CAIBI;NONOAI;INMET1;INMET2
2008;6;20080601;PRE-ENCHIMENTO;202.15;163.4;160.6;225;146.2;159.1
2008;7;20080701;PRE-ENCHIMENTO;33.76;23.8;24;30.6;153.9;191.4
2008;8;20080801;PRE-ENCHIMENTO;131.01;82.8;74.4;86.8;149.2;141.9
2008;9;20080901;PRE-ENCHIMENTO;181.26;135;108;143.6;163.3;194.2
2008;10;20081001;PRE-ENCHIMENTO;338.21;301.2;342.6;316.4;192;246.9
2008;11;20081101;PRE-ENCHIMENTO;137.1;96.4;104.4;96.2;182.6;157.2
2008;12;20081201;PRE-ENCHIMENTO;46.2;64.8;89.8;48.4;157.7;168.1
2009;1;20090101;PRE-ENCHIMENTO;182.55;195.4;141.8;93;162.6;177.6
2009;2;20090201;PRE-ENCHIMENTO;168.34;136;59.1;101.8;173.7;210.1
2009;3;20090301;PRE-ENCHIMENTO;16.23;39.4;15.2;26.8;116.5;131.9
2009;4;20090401;PRE-ENCHIMENTO;39.85;24.4;20;12.2;167;172.1
2009;5;20090501;PRE-ENCHIMENTO;223.19;187;183.6;217.4;188.9;174.1
2009;6;20090601;PRE-ENCHIMENTO;81.25;82;95.4;93;146.2;159.1
2009;7;20090701;PRE-ENCHIMENTO;191.14;147.6;149.6;165.2;153.9;191.4
2009;8;20090801;PRE-ENCHIMENTO;228.27;161.2;148;190.6;149.2;141.9
2009;9;20090901;PRE-ENCHIMENTO;484.31;292.2;351;347.4;163.3;194.2
2009;10;20091001;PRE-ENCHIMENTO;184.36;156.6;140.6;187.8;192;246.9
2009;11;20091101;PRE-ENCHIMENTO;245.55;324.6;269.8;370.8;182.6;157.2
2009;12;20091201;PRE-ENCHIMENTO;62.65;195;111;56.4;157.7;168.1
2010;1;20100101;PRE-ENCHIMENTO;174.5;94;151.6;84;162.6;177.6
2010;2;20100201;PRE-ENCHIMENTO;186.19;123.8;135.8;155.6;173.7;210.1
2010;3;20100301;PRE-ENCHIMENTO;197.09;139;177.6;145.6;116.5;131.9
2010;4;20100401;PRE-ENCHIMENTO;385.83;276.6;232.2;279;167;172.1
2010;5;20100501;PRE-ENCHIMENTO;186.93;168.2;149.6;219.6;188.9;174.1
2010;6;20100601;PRE-ENCHIMENTO;46.72;38;34;62.2;146.2;159.1
2010;7;20100701;PRE-ENCHIMENTO;232.91;179.2;203;220.8;153.9;191.4
2010;8;20100801;PRE-ENCHIMENTO;43.42;21.8;24.4;29.8;149.2;141.9
2010;9;20100901;POS-ENCHIMENTO;130.03;113.6;147;121;163.3;194.2
2010;10;20101001;POS-ENCHIMENTO;175.78;122.8;123.8;128.2;192;246.9
2010;11;20101101;POS-ENCHIMENTO;116.84;52;72.4;62.6;182.6;157.2
2010;12;20101201;POS-ENCHIMENTO;431.03;286.4;263.4;133.8;157.7;168.1
2011;1;20110101;POS-ENCHIMENTO;191.26;143.8;146;150.22;162.6;177.6
2011;2;20110201;POS-ENCHIMENTO;251.71;175;191.8;200;173.7;210.1
2011;3;20110301;POS-ENCHIMENTO;216.38;160;159.4;230.2;116.5;131.9
2011;4;20110401;POS-ENCHIMENTO;132.83;108.2;91.2;152.4;167;172.1
2011;5;20110501;POS-ENCHIMENTO;60.21;68.6;22;68.4;188.9;174.1
2011;6;20110601;POS-ENCHIMENTO;353.61;325.6;510.8;298.6;146.2;159.1
2011;7;20110701;POS-ENCHIMENTO;204.2;224.6;222.8;210.2;153.9;191.4
